nx,ny,PCP,POP,PTY,REH,SKY,TMP,WSD
50,119,-99.0,-99.0,0.0,-99.0,4.0,-99.0,4.4
50,120,-99.0,-99.0,0.0,-99.0,4.0,-99.0,6.1
50,121,-99.0,-99.0,0.0,-99.0,4.0,-99.0,7.2
50,122,-99.0,-99.0,0.0,-99.0,4.0,-99.0,7.7
50,123,-99.0,-99.0,0.0,-99.0,4.0,-99.0,8.1
50,124,-99.0,-99.0,0.0,-99.0,4.0,-99.0,8.4
50,125,-99.0,-99.0,0.0,-99.0,4.0,-99.0,8.7
50,126,-99.0,-99.0,0.0,-99.0,4.0,-99.0,8.8
50,127,-99.0,-99.0,0.0,-99.0,4.0,-99.0,8.9
50,128,-99.0,-99.0,0.0,-99.0,4.0,-99.0,8.9
50,129,-99.0,-99.0,0.0,-99.0,4.0,-99.0,8.9
50,130,-99.0,-99.0,0.0,-99.0,4.0,-99.0,8.9
50,131,-99.0,-99.0,0.0,-99.0,4.0,-99.0,8.7
50,132,-99.0,-99.0,0.0,-99.0,4.0,-99.0,8.6
50,133,-99.0,-99.0,0.0,-99.0,4.0,-99.0,8.5
50,134,-99.0,-99.0,0.0,-99.0,4.0,-99.0,8.3
50,135,-99.0,-99.0,0.0,-99.0,4.0,-99.0,8.3
51,119,0.0,30.0,0.0,90.0,4.0,26.0,3.2
51,120,0.0,30.0,0.0,90.0,4.0,26.0,3.1
51,121,0.0,30.0,0.0,85.0,4.0,26.0,2.9
51,122,0.0,30.0,0.0,90.0,4.0,26.0,2.9
51,123,0.0,30.0,0.0,90.0,4.0,26.0,2.8
51,124,0.0,30.0,0.0,90.0,4.0,25.0,2.8
51,125,0.0,30.0,0.0,90.0,4.0,24.0,2.9
51,126,0.0,30.0,0.0,90.0,4.0,24.0,2.9
51,127,0.0,30.0,0.0,90.0,4.0,24.0,2.8
51,128,0.0,30.0,0.0,90.0,4.0,25.0,2.8
51,129,0.0,30.0,0.0,95.0,4.0,24.0,2.5
51,130,0.0,30.0,0.0,95.0,4.0,24.0,2.2
51,131,0.0,30.0,0.0,95.0,4.0,23.0,1.9
51,132,0.0,30.0,0.0,95.0,4.0,19.0,1.5
51,133,0.0,30.0,0.0,95.0,4.0,20.0,1.0
51,134,0.0,30.0,0.0,95.0,4.0,23.0,0.7
51,135,0.0,30.0,0.0,95.0,4.0,23.0,0.6
52,119,-99.0,-99.0,0.0,-99.0,4.0,-99.0,10.8
52,120,-99.0,-99.0,0.0,-99.0,4.0,-99.0,10.8
52,121,-99.0,-99.0,0.0,-99.0,4.0,-99.0,10.7
52,122,-99.0,-99.0,0.0,-99.0,4.0,-99.0,10.5
52,123,-99.0,-99.0,0.0,-99.0,4.0,-99.0,10.4
52,124,-99.0,-99.0,0.0,-99.0,4.0,-99.0,10.3
52,125,-99.0,-99.0,0.0,-99.0,4.0,-99.0,10.2
52,126,-99.0,-99.0,0.0,-99.0,4.0,-99.0,10.0
52,127,-99.0,-99.0,0.0,-99.0,4.0,-99.0,9.8
52,128,-99.0,-99.0,0.0,-99.0,4.0,-99.0,9.7
52,129,-99.0,-99.0,0.0,-99.0,4.0,-99.0,9.5
52,130,-99.0,-99.0,0.0,-99.0,4.0,-99.0,9.4
52,131,-99.0,-99.0,0.0,-99.0,4.0,-99.0,9.3
52,132,-99.0,-99.0,0.0,-99.0,4.0,-99.0,9.2
52,133,-99.0,-99.0,0.0,-99.0,4.0,-99.0,9.0
52,134,-99.0,-99.0,0.0,-99.0,4.0,-99.0,8.8
52,135,-99.0,-99.0,0.0,-99.0,4.0,-99.0,8.7
53,119,-99.0,-99.0,0.0,-99.0,4.0,-99.0,8.8
53,120,-99.0,-99.0,0.0,-99.0,4.0,-99.0,8.7
53,121,-99.0,-99.0,0.0,-99.0,4.0,-99.0,8.6
53,122,-99.0,-99.0,0.0,-99.0,4.0,-99.0,8.5
53,123,-99.0,-99.0,0.0,-99.0,4.0,-99.0,8.5
53,124,-99.0,-99.0,0.0,-99.0,4.0,-99.0,8.2
53,125,-99.0,-99.0,0.0,-99.0,4.0,-99.0,8.4
53,126,-99.0,-99.0,0.0,-99.0,4.0,-99.0,8.3
53,127,-99.0,-99.0,0.0,-99.0,4.0,-99.0,8.3
53,128,-99.0,-99.0,0.0,-99.0,4.0,-99.0,8.4
53,129,-99.0,-99.0,0.0,-99.0,4.0,-99.0,8.5
53,130,-99.0,-99.0,0.0,-99.0,4.0,-99.0,8.6
53,131,-99.0,-99.0,0.0,-99.0,4.0,-99.0,8.8
53,132,-99.0,-99.0,0.0,-99.0,4.0,-99.0,8.8
53,133,-99.0,-99.0,0.0,-99.0,4.0,-99.0,8.8
53,134,-99.0,-99.0,0.0,-99.0,4.0,-99.0,8.9
53,135,-99.0,-99.0,0.0,-99.0,4.0,-99.0,8.9
54,119,0.0,30.0,0.0,90.0,4.0,25.0,2.0
54,120,0.0,30.0,0.0,90.0,4.0,24.0,1.5
54,121,0.0,30.0,0.0,90.0,4.0,21.0,0.9
54,122,0.0,30.0,0.0,90.0,4.0,23.0,0.6
54,123,0.0,30.0,0.0,90.0,4.0,23.0,0.5
54,124,0.0,30.0,0.0,90.0,4.0,25.0,0.4
54,125,0.0,30.0,0.0,90.0,4.0,24.0,0.4
54,126,0.0,30.0,0.0,90.0,4.0,24.0,0.4
54,127,0.0,30.0,0.0,90.0,4.0,23.0,0.6
54,128,0.0,30.0,0.0,90.0,4.0,24.0,0.5
54,129,0.0,30.0,0.0,95.0,4.0,24.0,0.6
54,130,8.0,60.0,1.0,95.0,4.0,24.0,0.6
54,131,10.0,60.0,1.0,95.0,4.0,25.0,0.7
54,132,8.0,60.0,1.0,95.0,4.0,23.0,0.5
54,133,6.0,60.0,1.0,90.0,4.0,24.0,0.2
54,134,0.0,30.0,0.0,90.0,4.0,23.0,0.2
54,135,0.0,30.0,0.0,95.0,4.0,22.0,0.5
55,119,-99.0,-99.0,0.0,-99.0,4.0,-99.0,9.2
55,120,-99.0,-99.0,0.0,-99.0,4.0,-99.0,9.1
55,121,-99.0,-99.0,0.0,-99.0,4.0,-99.0,9.1
55,122,-99.0,-99.0,0.0,-99.0,4.0,-99.0,8.9
55,123,-99.0,-99.0,0.0,-99.0,4.0,-99.0,8.9
55,124,-99.0,-99.0,0.0,-99.0,4.0,-99.0,8.8
55,125,-99.0,-99.0,0.0,-99.0,4.0,-99.0,8.8
55,126,-99.0,-99.0,0.0,-99.0,4.0,-99.0,8.8
55,127,-99.0,-99.0,0.0,-99.0,4.0,-99.0,8.9
55,128,-99.0,-99.0,1.0,-99.0,4.0,-99.0,8.9
55,129,-99.0,-99.0,1.0,-99.0,4.0,-99.0,8.8
55,130,-99.0,-99.0,1.0,-99.0,4.0,-99.0,8.9
55,131,-99.0,-99.0,1.0,-99.0,4.0,-99.0,8.9
55,132,-99.0,-99.0,1.0,-99.0,4.0,-99.0,9.0
55,133,2.0,60.0,1.0,100.0,4.0,25.0,9.3
55,134,-99.0,-99.0,1.0,-99.0,4.0,-99.0,9.7
55,135,-99.0,-99.0,1.0,-99.0,4.0,-99.0,9.9
56,119,-99.0,-99.0,0.0,-99.0,4.0,-99.0,9.5
56,120,-99.0,-99.0,0.0,-99.0,4.0,-99.0,9.7
56,121,-99.0,-99.0,0.0,-99.0,4.0,-99.0,9.6
56,122,-99.0,-99.0,0.0,-99.0,4.0,-99.0,9.7
56,123,-99.0,-99.0,0.0,-99.0,4.0,-99.0,9.9
56,124,-99.0,-99.0,0.0,-99.0,4.0,-99.0,10.0
56,125,-99.0,-99.0,0.0,-99.0,4.0,-99.0,10.0
56,126,-99.0,-99.0,0.0,-99.0,4.0,-99.0,10.0
56,127,-99.0,-99.0,0.0,-99.0,4.0,-99.0,10.0
56,128,-99.0,-99.0,0.0,-99.0,4.0,-99.0,10.0
56,129,-99.0,-99.0,0.0,-99.0,4.0,-99.0,10.0
56,130,-99.0,-99.0,0.0,-99.0,4.0,-99.0,10.1
56,131,-99.0,-99.0,0.0,-99.0,4.0,-99.0,10.1
56,132,-99.0,-99.0,0.0,-99.0,4.0,-99.0,10.2
56,133,-99.0,-99.0,0.0,-99.0,4.0,-99.0,10.3
56,134,-99.0,-99.0,0.0,-99.0,4.0,-99.0,10.2
56,135,-99.0,-99.0,0.0,-99.0,4.0,-99.0,10.3
57,119,0.0,30.0,0.0,95.0,4.0,24.0,0.1
57,120,0.0,30.0,0.0,95.0,4.0,24.0,0.1
57,121,0.0,30.0,0.0,95.0,4.0,23.0,0.3
57,122,0.0,30.0,0.0,100.0,4.0,24.0,0.5
57,123,0.0,30.0,0.0,100.0,4.0,23.0,0.7
57,124,0.0,30.0,0.0,100.0,4.0,23.0,1.0
57,125,0.0,30.0,0.0,100.0,4.0,22.0,1.2
57,126,0.0,30.0,0.0,100.0,4.0,23.0,1.3
57,127,0.0,30.0,0.0,100.0,4.0,22.0,1.5
57,128,0.0,30.0,0.0,95.0,4.0,23.0,1.6
57,129,0.0,30.0,0.0,95.0,4.0,23.0,1.6
57,130,0.0,30.0,0.0,95.0,4.0,23.0,1.6
57,131,0.0,30.0,0.0,90.0,4.0,22.0,1.4
57,132,0.0,30.0,0.0,90.0,4.0,24.0,1.4
57,133,0.0,30.0,0.0,90.0,4.0,25.0,1.7
57,134,0.0,30.0,0.0,90.0,4.0,25.0,2.4
57,135,-99.0,-99.0,1.0,-99.0,4.0,-99.0,2.9
58,119,-99.0,-99.0,0.0,-99.0,4.0,-99.0,9.0
58,120,-99.0,-99.0,0.0,-99.0,4.0,-99.0,9.1
58,121,-99.0,-99.0,0.0,-99.0,4.0,-99.0,9.2
58,122,-99.0,-99.0,1.0,-99.0,4.0,-99.0,9.2
58,123,-99.0,-99.0,1.0,-99.0,4.0,-99.0,9.2
58,124,-99.0,-99.0,1.0,-99.0,4.0,-99.0,9.3
58,125,2.0,60.0,1.0,95.0,4.0,25.0,9.4
58,126,2.0,60.0,1.0,95.0,4.0,25.0,9.6
