nx,ny,PCP,POP,PTY,REH,SKY,TMP,WSD
50,119,-99.0,-99.0,1.0,-99.0,4.0,-99.0,2.9
50,120,-99.0,-99.0,1.0,-99.0,4.0,-99.0,3.7
50,121,-99.0,-99.0,0.0,-99.0,4.0,-99.0,4.5
50,122,-99.0,-99.0,0.0,-99.0,4.0,-99.0,4.8
50,123,-99.0,-99.0,0.0,-99.0,4.0,-99.0,5.3
50,124,-99.0,-99.0,0.0,-99.0,4.0,-99.0,5.6
50,125,-99.0,-99.0,0.0,-99.0,4.0,-99.0,5.7
50,126,-99.0,-99.0,0.0,-99.0,4.0,-99.0,5.9
50,127,-99.0,-99.0,0.0,-99.0,4.0,-99.0,5.9
50,128,-99.0,-99.0,0.0,-99.0,4.0,-99.0,6.0
50,129,-99.0,-99.0,0.0,-99.0,4.0,-99.0,6.0
50,130,-99.0,-99.0,0.0,-99.0,4.0,-99.0,6.0
50,131,-99.0,-99.0,0.0,-99.0,4.0,-99.0,6.0
50,132,-99.0,-99.0,0.0,-99.0,4.0,-99.0,6.0
50,133,-99.0,-99.0,0.0,-99.0,4.0,-99.0,5.9
50,134,-99.0,-99.0,0.0,-99.0,4.0,-99.0,5.9
50,135,-99.0,-99.0,0.0,-99.0,4.0,-99.0,6.0
51,119,0.0,20.0,0.0,75.0,3.0,30.0,1.3
51,120,0.0,20.0,0.0,75.0,3.0,30.0,1.4
51,121,0.0,0.0,0.0,75.0,1.0,30.0,1.3
51,122,10.0,60.0,4.0,75.0,3.0,30.0,1.3
51,123,10.0,60.0,4.0,70.0,3.0,30.0,1.2
51,124,10.0,60.0,4.0,70.0,3.0,29.0,1.2
51,125,10.0,60.0,4.0,75.0,3.0,27.0,1.1
51,126,10.0,60.0,4.0,75.0,3.0,28.0,1.4
51,127,10.0,60.0,4.0,80.0,3.0,28.0,1.6
51,128,10.0,60.0,4.0,80.0,3.0,28.0,1.8
51,129,0.0,20.0,0.0,75.0,3.0,28.0,2.1
51,130,10.0,60.0,4.0,80.0,3.0,27.0,2.3
51,131,10.0,60.0,4.0,85.0,3.0,26.0,2.5
51,132,0.0,20.0,0.0,90.0,3.0,22.0,2.4
51,133,0.0,30.0,0.0,90.0,4.0,23.0,2.3
51,134,0.0,30.0,0.0,85.0,4.0,26.0,2.2
51,135,0.0,30.0,0.0,90.0,4.0,26.0,2.1
52,119,-99.0,-99.0,0.0,-99.0,3.0,-99.0,4.6
52,120,-99.0,-99.0,0.0,-99.0,3.0,-99.0,4.5
52,121,-99.0,-99.0,0.0,-99.0,3.0,-99.0,4.5
52,122,-99.0,-99.0,0.0,-99.0,3.0,-99.0,4.4
52,123,-99.0,-99.0,0.0,-99.0,3.0,-99.0,4.4
52,124,-99.0,-99.0,0.0,-99.0,3.0,-99.0,4.4
52,125,-99.0,-99.0,0.0,-99.0,3.0,-99.0,4.3
52,126,-99.0,-99.0,0.0,-99.0,3.0,-99.0,4.3
52,127,-99.0,-99.0,0.0,-99.0,3.0,-99.0,4.3
52,128,-99.0,-99.0,0.0,-99.0,3.0,-99.0,4.3
