nx,ny,PCP,POP,PTY,REH,SKY,TMP,WSD
50,119,-99.0,-99.0,0.0,-99.0,3.0,-99.0,3.4
50,120,-99.0,-99.0,0.0,-99.0,3.0,-99.0,3.8
50,121,-99.0,-99.0,0.0,-99.0,3.0,-99.0,4.2
50,122,-99.0,-99.0,0.0,-99.0,3.0,-99.0,4.3
50,123,-99.0,-99.0,0.0,-99.0,4.0,-99.0,4.4
50,124,-99.0,-99.0,0.0,-99.0,4.0,-99.0,4.4
50,125,-99.0,-99.0,0.0,-99.0,3.0,-99.0,4.3
50,126,-99.0,-99.0,0.0,-99.0,3.0,-99.0,4.3
50,127,-99.0,-99.0,0.0,-99.0,3.0,-99.0,4.0
50,128,-99.0,-99.0,0.0,-99.0,3.0,-99.0,3.6
50,129,-99.0,-99.0,0.0,-99.0,3.0,-99.0,3.5
50,130,-99.0,-99.0,0.0,-99.0,3.0,-99.0,3.2
50,131,-99.0,-99.0,0.0,-99.0,3.0,-99.0,2.9
50,132,-99.0,-99.0,0.0,-99.0,3.0,-99.0,2.8
50,133,-99.0,-99.0,0.0,-99.0,4.0,-99.0,2.8
50,134,-99.0,-99.0,1.0,-99.0,4.0,-99.0,2.8
50,135,-99.0,-99.0,0.0,-99.0,4.0,-99.0,2.9
51,119,0.0,0.0,0.0,35.0,1.0,5.0,4.6
51,120,0.0,0.0,0.0,35.0,1.0,6.0,4.1
51,121,0.0,0.0,0.0,35.0,1.0,6.0,3.8
51,122,0.0,0.0,0.0,35.0,1.0,6.0,3.5
51,123,0.0,0.0,0.0,30.0,1.0,6.0,3.3
51,124,0.0,0.0,0.0,30.0,1.0,6.0,3.2
51,125,0.0,0.0,0.0,35.0,1.0,4.0,3.1
51,126,0.0,0.0,0.0,35.0,1.0,5.0,3.1
51,127,0.0,0.0,0.0,35.0,1.0,5.0,3.2
51,128,0.0,0.0,0.0,35.0,1.0,6.0,3.2
51,129,0.0,0.0,0.0,35.0,1.0,6.0,3.1
51,130,0.0,0.0,0.0,35.0,1.0,6.0,3.1
51,131,0.0,0.0,0.0,40.0,1.0,4.0,3.0
51,132,0.0,0.0,0.0,45.0,1.0,1.0,3.0
51,133,0.0,0.0,0.0,40.0,1.0,3.0,3.0
51,134,0.0,0.0,0.0,35.0,1.0,7.0,3.0
51,135,0.0,0.0,0.0,30.0,1.0,7.0,3.0
52,119,-99.0,-99.0,0.0,-99.0,1.0,-99.0,11.5
52,120,-99.0,-99.0,0.0,-99.0,1.0,-99.0,11.6
52,121,-99.0,-99.0,0.0,-99.0,1.0,-99.0,11.6
52,122,-99.0,-99.0,0.0,-99.0,1.0,-99.0,11.7
52,123,-99.0,-99.0,0.0,-99.0,1.0,-99.0,11.8
52,124,-99.0,-99.0,0.0,-99.0,1.0,-99.0,11.8
52,125,-99.0,-99.0,0.0,-99.0,1.0,-99.0,11.8
52,126,-99.0,-99.0,0.0,-99.0,1.0,-99.0,11.8
52,127,-99.0,-99.0,0.0,-99.0,1.0,-99.0,11.9
52,128,-99.0,-99.0,0.0,-99.0,1.0,-99.0,11.9
52,129,-99.0,-99.0,0.0,-99.0,1.0,-99.0,11.9
52,130,-99.0,-99.0,0.0,-99.0,1.0,-99.0,12.0
52,131,-99.0,-99.0,0.0,-99.0,1.0,-99.0,11.9
52,132,-99.0,-99.0,0.0,-99.0,1.0,-99.0,11.9
52,133,-99.0,-99.0,0.0,-99.0,1.0,-99.0,11.8
52,134,-99.0,-99.0,0.0,-99.0,1.0,-99.0,11.8
52,135,-99.0,-99.0,0.0,-99.0,1.0,-99.0,11.8
53,119,-99.0,-99.0,1.0,-99.0,4.0,-99.0,2.8
53,120,-99.0,-99.0,1.0,-99.0,4.0,-99.0,2.8
53,121,-99.0,-99.0,1.0,-99.0,4.0,-99.0,2.7
53,122,-99.0,-99.0,0.0,-99.0,4.0,-99.0,2.6
53,123,-99.0,-99.0,0.0,-99.0,4.0,-99.0,2.6
53,124,-99.0,-99.0,0.0,-99.0,4.0,-99.0,2.7
53,125,-99.0,-99.0,0.0,-99.0,4.0,-99.0,2.9
53,126,-99.0,-99.0,0.0,-99.0,4.0,-99.0,3.1
53,127,-99.0,-99.0,0.0,-99.0,4.0,-99.0,3.4
53,128,-99.0,-99.0,0.0,-99.0,4.0,-99.0,3.6
53,129,-99.0,-99.0,1.0,-99.0,4.0,-99.0,3.8
53,130,-99.0,-99.0,0.0,-99.0,4.0,-99.0,4.0
53,131,-99.0,-99.0,0.0,-99.0,4.0,-99.0,4.2
53,132,-99.0,-99.0,1.0,-99.0,4.0,-99.0,4.3
53,133,-99.0,-99.0,1.0,-99.0,4.0,-99.0,4.5
53,134,-99.0,-99.0,0.0,-99.0,4.0,-99.0,4.5
53,135,-99.0,-99.0,0.0,-99.0,4.0,-99.0,4.4
54,119,0.0,0.0,0.0,40.0,1.0,5.0,3.0
54,120,0.0,0.0,0.0,40.0,1.0,5.0,3.0
54,121,0.0,0.0,0.0,40.0,1.0,2.0,3.0
54,122,0.0,0.0,0.0,40.0,1.0,5.0,3.1
54,123,0.0,0.0,0.0,35.0,1.0,6.0,3.1
54,124,0.0,0.0,0.0,30.0,1.0,8.0,3.2
54,125,0.0,0.0,0.0,30.0,1.0,7.0,3.2
54,126,0.0,0.0,0.0,30.0,1.0,7.0,3.2
54,127,0.0,0.0,0.0,30.0,1.0,7.0,3.4
54,128,0.0,0.0,0.0,25.0,1.0,8.0,3.4
54,129,0.0,0.0,0.0,30.0,1.0,8.0,3.3
54,130,0.0,0.0,0.0,30.0,1.0,8.0,3.3
54,131,0.0,0.0,0.0,35.0,1.0,8.0,3.2
54,132,0.0,0.0,0.0,35.0,1.0,6.0,3.1
54,133,0.0,0.0,0.0,40.0,1.0,6.0,3.0
54,134,0.0,0.0,0.0,40.0,1.0,5.0,3.0
54,135,0.0,0.0,0.0,40.0,1.0,4.0,2.9
55,119,-99.0,-99.0,0.0,-99.0,1.0,-99.0,12.1
55,120,-99.0,-99.0,0.0,-99.0,1.0,-99.0,12.1
55,121,-99.0,-99.0,0.0,-99.0,1.0,-99.0,12.0
55,122,-99.0,-99.0,0.0,-99.0,1.0,-99.0,11.9
55,123,-99.0,-99.0,0.0,-99.0,1.0,-99.0,11.8
55,124,-99.0,-99.0,0.0,-99.0,1.0,-99.0,11.7
55,125,-99.0,-99.0,0.0,-99.0,1.0,-99.0,11.5
55,126,-99.0,-99.0,0.0,-99.0,1.0,-99.0,11.4
55,127,-99.0,-99.0,0.0,-99.0,1.0,-99.0,11.4
55,128,-99.0,-99.0,0.0,-99.0,1.0,-99.0,11.3
55,129,-99.0,-99.0,0.0,-99.0,1.0,-99.0,11.0
55,130,-99.0,-99.0,0.0,-99.0,1.0,-99.0,11.0
55,131,-99.0,-99.0,0.0,-99.0,1.0,-99.0,10.9
55,132,-99.0,-99.0,0.0,-99.0,1.0,-99.0,10.8
55,133,0.0,0.0,0.0,60.0,1.0,2.0,10.6
55,134,-99.0,-99.0,0.0,-99.0,1.0,-99.0,10.5
55,135,-99.0,-99.0,0.0,-99.0,1.0,-99.0,10.5
56,119,-99.0,-99.0,1.0,-99.0,4.0,-99.0,4.0
56,120,-99.0,-99.0,1.0,-99.0,4.0,-99.0,4.2
56,121,-99.0,-99.0,1.0,-99.0,4.0,-99.0,4.0
56,122,-99.0,-99.0,1.0,-99.0,4.0,-99.0,4.0
56,123,-99.0,-99.0,1.0,-99.0,4.0,-99.0,3.9
56,124,-99.0,-99.0,1.0,-99.0,4.0,-99.0,3.7
56,125,-99.0,-99.0,1.0,-99.0,4.0,-99.0,3.6
56,126,-99.0,-99.0,1.0,-99.0,4.0,-99.0,3.5
56,127,-99.0,-99.0,1.0,-99.0,4.0,-99.0,3.4
56,128,-99.0,-99.0,1.0,-99.0,4.0,-99.0,3.4
56,129,-99.0,-99.0,1.0,-99.0,4.0,-99.0,3.4
56,130,-99.0,-99.0,1.0,-99.0,4.0,-99.0,3.4
56,131,-99.0,-99.0,1.0,-99.0,4.0,-99.0,3.4
56,132,-99.0,-99.0,1.0,-99.0,4.0,-99.0,3.3
56,133,-99.0,-99.0,1.0,-99.0,4.0,-99.0,3.4
56,134,-99.0,-99.0,1.0,-99.0,4.0,-99.0,3.4
56,135,-99.0,-99.0,1.0,-99.0,4.0,-99.0,3.4
57,119,0.0,0.0,0.0,40.0,1.0,7.0,3.2
57,120,0.0,0.0,0.0,45.0,1.0,7.0,3.2
57,121,0.0,0.0,0.0,45.0,1.0,7.0,3.3
57,122,0.0,0.0,0.0,45.0,1.0,7.0,3.4
