nx,ny,PCP,POP,PTY,REH,SKY,TMP,WSD
50,119,-99.0,-99.0,1.0,-99.0,4.0,-99.0,5.9
50,120,-99.0,-99.0,1.0,-99.0,4.0,-99.0,7.2
50,121,-99.0,-99.0,0.0,-99.0,4.0,-99.0,8.3
50,122,-99.0,-99.0,1.0,-99.0,4.0,-99.0,9.0
50,123,-99.0,-99.0,0.0,-99.0,4.0,-99.0,9.7
50,124,-99.0,-99.0,0.0,-99.0,4.0,-99.0,10.1
50,125,-99.0,-99.0,0.0,-99.0,4.0,-99.0,10.0
50,126,-99.0,-99.0,0.0,-99.0,4.0,-99.0,9.8
50,127,-99.0,-99.0,0.0,-99.0,4.0,-99.0,9.8
50,128,-99.0,-99.0,1.0,-99.0,4.0,-99.0,10.0
50,129,-99.0,-99.0,1.0,-99.0,4.0,-99.0,10.0
50,130,-99.0,-99.0,1.0,-99.0,4.0,-99.0,10.1
50,131,-99.0,-99.0,1.0,-99.0,4.0,-99.0,10.3
50,132,-99.0,-99.0,0.0,-99.0,4.0,-99.0,10.4
50,133,-99.0,-99.0,0.0,-99.0,4.0,-99.0,10.6
50,134,-99.0,-99.0,0.0,-99.0,4.0,-99.0,10.8
50,135,-99.0,-99.0,0.0,-99.0,4.0,-99.0,11.0
51,119,2.0,70.0,1.0,85.0,4.0,17.0,5.5
51,120,2.0,75.0,1.0,80.0,4.0,17.0,5.2
51,121,4.0,78.0,1.0,80.0,4.0,17.0,5.0
51,122,4.0,75.0,1.0,80.0,4.0,17.0,4.8
51,123,4.0,72.0,1.0,85.0,4.0,16.0,4.8
51,124,4.0,70.0,1.0,85.0,4.0,16.0,5.1
51,125,4.0,67.0,1.0,90.0,4.0,14.0,5.2
51,126,5.0,65.0,1.0,90.0,4.0,15.0,5.1
51,127,5.0,63.0,1.0,90.0,4.0,15.0,5.2
51,128,6.0,60.0,1.0,95.0,4.0,15.0,5.0
51,129,5.0,60.0,1.0,95.0,4.0,14.0,4.8
51,130,5.0,60.0,1.0,95.0,4.0,14.0,4.6
51,131,4.0,60.0,1.0,90.0,4.0,13.0,4.1
51,132,8.0,60.0,1.0,85.0,4.0,9.0,3.5
51,133,7.0,60.0,1.0,85.0,4.0,11.0,3.0
51,134,6.0,60.0,1.0,85.0,4.0,13.0,2.8
51,135,6.0,60.0,1.0,85.0,4.0,12.0,2.6
52,119,-99.0,-99.0,0.0,-99.0,4.0,-99.0,2.8
52,120,-99.0,-99.0,0.0,-99.0,4.0,-99.0,3.3
52,121,-99.0,-99.0,0.0,-99.0,4.0,-99.0,3.5
52,122,-99.0,-99.0,0.0,-99.0,4.0,-99.0,3.7
52,123,-99.0,-99.0,0.0,-99.0,4.0,-99.0,4.0
52,124,-99.0,-99.0,1.0,-99.0,4.0,-99.0,4.2
52,125,-99.0,-99.0,1.0,-99.0,4.0,-99.0,4.3
52,126,-99.0,-99.0,1.0,-99.0,4.0,-99.0,4.5
52,127,-99.0,-99.0,1.0,-99.0,4.0,-99.0,4.5
