nx,ny,PCP,POP,PTY,REH,SKY,TMP,WSD
50,119,-99.0,-99.0,0.0,-99.0,1.0,-99.0,3.0
50,120,-99.0,-99.0,0.0,-99.0,1.0,-99.0,3.4
50,121,-99.0,-99.0,0.0,-99.0,1.0,-99.0,3.8
50,122,-99.0,-99.0,0.0,-99.0,1.0,-99.0,4.0
50,123,-99.0,-99.0,0.0,-99.0,1.0,-99.0,4.2
50,124,-99.0,-99.0,0.0,-99.0,1.0,-99.0,4.3
50,125,-99.0,-99.0,0.0,-99.0,1.0,-99.0,4.4
50,126,-99.0,-99.0,0.0,-99.0,1.0,-99.0,4.5
50,127,-99.0,-99.0,0.0,-99.0,1.0,-99.0,4.6
50,128,-99.0,-99.0,0.0,-99.0,1.0,-99.0,4.7
50,129,-99.0,-99.0,0.0,-99.0,1.0,-99.0,4.8
50,130,-99.0,-99.0,0.0,-99.0,1.0,-99.0,4.8
50,131,-99.0,-99.0,0.0,-99.0,1.0,-99.0,4.8
50,132,-99.0,-99.0,0.0,-99.0,1.0,-99.0,4.9
50,133,-99.0,-99.0,0.0,-99.0,1.0,-99.0,4.8
50,134,-99.0,-99.0,0.0,-99.0,1.0,-99.0,4.8
50,135,-99.0,-99.0,0.0,-99.0,1.0,-99.0,4.7
51,119,0.0,30.0,0.0,80.0,4.0,10.0,1.4
51,120,0.0,30.0,0.0,75.0,4.0,11.0,1.3
51,121,0.0,30.0,0.0,75.0,4.0,11.0,1.4
51,122,0.0,30.0,0.0,75.0,4.0,11.0,1.4
51,123,0.0,30.0,0.0,75.0,4.0,10.0,1.5
51,124,0.0,30.0,0.0,75.0,4.0,10.0,1.5
51,125,0.0,30.0,0.0,75.0,4.0,8.0,1.5
51,126,0.0,30.0,0.0,80.0,4.0,8.0,1.5
51,127,0.0,30.0,0.0,80.0,4.0,7.0,1.5
51,128,0.0,30.0,0.0,80.0,4.0,7.0,1.5
51,129,0.0,30.0,0.0,80.0,4.0,6.0,1.7
51,130,0.0,30.0,0.0,80.0,4.0,6.0,1.8
51,131,0.0,30.0,0.0,75.0,4.0,7.0,1.9
51,132,0.0,30.0,0.0,75.0,4.0,4.0,1.9
51,133,0.0,30.0,0.0,75.0,4.0,6.0,2.0
51,134,0.0,30.0,0.0,70.0,4.0,8.0,2.0
51,135,0.0,30.0,0.0,65.0,4.0,8.0,1.9
52,119,-99.0,-99.0,0.0,-99.0,4.0,-99.0,3.3
52,120,-99.0,-99.0,0.0,-99.0,4.0,-99.0,3.4
52,121,-99.0,-99.0,0.0,-99.0,4.0,-99.0,3.5
52,122,-99.0,-99.0,0.0,-99.0,4.0,-99.0,3.3
52,123,-99.0,-99.0,0.0,-99.0,4.0,-99.0,3.3
52,124,-99.0,-99.0,0.0,-99.0,4.0,-99.0,3.1
52,125,-99.0,-99.0,0.0,-99.0,4.0,-99.0,3.3
52,126,-99.0,-99.0,0.0,-99.0,4.0,-99.0,3.4
52,127,-99.0,-99.0,0.0,-99.0,4.0,-99.0,3.4
52,128,-99.0,-99.0,0.0,-99.0,4.0,-99.0,3.6
52,129,-99.0,-99.0,0.0,-99.0,4.0,-99.0,3.8
52,130,-99.0,-99.0,0.0,-99.0,4.0,-99.0,3.8
52,131,-99.0,-99.0,0.0,-99.0,4.0,-99.0,3.9
52,132,-99.0,-99.0,0.0,-99.0,4.0,-99.0,4.0
52,133,-99.0,-99.0,0.0,-99.0,4.0,-99.0,4.1
52,134,-99.0,-99.0,0.0,-99.0,4.0,-99.0,4.2
52,135,-99.0,-99.0,0.0,-99.0,4.0,-99.0,4.3
53,119,-99.0,-99.0,0.0,-99.0,1.0,-99.0,6.4
53,120,-99.0,-99.0,0.0,-99.0,1.0,-99.0,6.4
53,121,-99.0,-99.0,0.0,-99.0,1.0,-99.0,6.4
53,122,-99.0,-99.0,0.0,-99.0,1.0,-99.0,6.4
53,123,-99.0,-99.0,0.0,-99.0,1.0,-99.0,6.3
53,124,-99.0,-99.0,0.0,-99.0,1.0,-99.0,6.3
53,125,-99.0,-99.0,0.0,-99.0,1.0,-99.0,6.4
53,126,-99.0,-99.0,0.0,-99.0,1.0,-99.0,6.4
53,127,-99.0,-99.0,0.0,-99.0,1.0,-99.0,6.5
53,128,-99.0,-99.0,0.0,-99.0,1.0,-99.0,6.7
53,129,-99.0,-99.0,0.0,-99.0,1.0,-99.0,6.9
53,130,-99.0,-99.0,0.0,-99.0,1.0,-99.0,6.9
53,131,-99.0,-99.0,0.0,-99.0,1.0,-99.0,7.1
53,132,-99.0,-99.0,0.0,-99.0,1.0,-99.0,7.1
53,133,-99.0,-99.0,0.0,-99.0,1.0,-99.0,7.2
53,134,-99.0,-99.0,0.0,-99.0,1.0,-99.0,7.2
53,135,-99.0,-99.0,0.0,-99.0,1.0,-99.0,7.1
54,119,0.0,30.0,0.0,70.0,4.0,9.0,1.9
54,120,0.0,30.0,0.0,65.0,4.0,10.0,1.8
54,121,0.0,30.0,0.0,65.0,4.0,6.0,1.7
54,122,0.0,30.0,0.0,60.0,4.0,9.0,1.6
54,123,0.0,30.0,0.0,60.0,4.0,9.0,1.3
54,124,0.0,30.0,0.0,55.0,4.0,9.0,1.0
54,125,0.0,20.0,0.0,55.0,3.0,8.0,0.8
54,126,0.0,20.0,0.0,50.0,3.0,9.0,0.6
54,127,0.0,20.0,0.0,50.0,3.0,8.0,0.6
54,128,0.0,20.0,0.0,50.0,3.0,7.0,0.6
54,129,0.0,20.0,0.0,55.0,3.0,7.0,0.7
54,130,0.0,20.0,0.0,55.0,3.0,8.0,0.7
