nx,ny,PCP,POP,PTY,REH,SKY,TMP,WSD
50,119,-99.0,-99.0,0.0,-99.0,4.0,-99.0,8.3
50,120,-99.0,-99.0,0.0,-99.0,4.0,-99.0,10.0
50,121,-99.0,-99.0,0.0,-99.0,4.0,-99.0,11.3
50,122,-99.0,-99.0,0.0,-99.0,4.0,-99.0,12.1
50,123,-99.0,-99.0,0.0,-99.0,4.0,-99.0,13.1
50,124,-99.0,-99.0,0.0,-99.0,4.0,-99.0,13.5
50,125,-99.0,-99.0,0.0,-99.0,4.0,-99.0,14.1
50,126,-99.0,-99.0,0.0,-99.0,4.0,-99.0,14.4
50,127,-99.0,-99.0,0.0,-99.0,4.0,-99.0,14.5
50,128,-99.0,-99.0,0.0,-99.0,4.0,-99.0,14.6
50,129,-99.0,-99.0,0.0,-99.0,4.0,-99.0,14.4
50,130,-99.0,-99.0,0.0,-99.0,4.0,-99.0,14.3
50,131,-99.0,-99.0,0.0,-99.0,4.0,-99.0,14.1
50,132,-99.0,-99.0,0.0,-99.0,4.0,-99.0,13.9
50,133,-99.0,-99.0,0.0,-99.0,4.0,-99.0,13.8
50,134,-99.0,-99.0,0.0,-99.0,4.0,-99.0,14.0
50,135,-99.0,-99.0,0.0,-99.0,4.0,-99.0,14.1
51,119,9.0,62.0,1.0,95.0,4.0,19.0,4.1
51,120,9.0,62.0,1.0,95.0,4.0,19.0,4.0
51,121,9.0,63.0,1.0,95.0,4.0,19.0,3.7
51,122,8.0,65.0,1.0,95.0,4.0,20.0,3.5
51,123,8.0,67.0,1.0,95.0,4.0,19.0,3.3
51,124,7.0,67.0,1.0,95.0,4.0,19.0,3.1
51,125,6.0,69.0,1.0,100.0,4.0,18.0,2.9
51,126,6.0,71.0,1.0,100.0,4.0,19.0,2.7
51,127,6.0,74.0,1.0,100.0,4.0,19.0,2.5
51,128,6.0,77.0,1.0,100.0,4.0,20.0,2.3
51,129,7.0,85.0,1.0,100.0,4.0,20.0,2.0
51,130,7.0,93.0,1.0,100.0,4.0,20.0,1.7
51,131,8.0,91.0,1.0,95.0,4.0,19.0,1.6
51,132,9.0,76.0,1.0,95.0,4.0,15.0,1.5
51,133,9.0,61.0,1.0,90.0,4.0,18.0,1.4
51,134,9.0,60.0,1.0,90.0,4.0,21.0,1.3
51,135,7.0,60.0,1.0,90.0,4.0,21.0,1.1
52,119,-99.0,-99.0,1.0,-99.0,4.0,-99.0,14.2
52,120,-99.0,-99.0,1.0,-99.0,4.0,-99.0,14.2
52,121,-99.0,-99.0,1.0,-99.0,4.0,-99.0,14.1
52,122,-99.0,-99.0,1.0,-99.0,4.0,-99.0,14.0
52,123,-99.0,-99.0,1.0,-99.0,4.0,-99.0,14.0
52,124,-99.0,-99.0,1.0,-99.0,4.0,-99.0,14.0
52,125,-99.0,-99.0,1.0,-99.0,4.0,-99.0,13.8
52,126,-99.0,-99.0,1.0,-99.0,4.0,-99.0,13.7
52,127,-99.0,-99.0,1.0,-99.0,4.0,-99.0,13.5
52,128,-99.0,-99.0,1.0,-99.0,4.0,-99.0,13.4
52,129,-99.0,-99.0,1.0,-99.0,4.0,-99.0,13.2
52,130,-99.0,-99.0,1.0,-99.0,4.0,-99.0,13.0
52,131,-99.0,-99.0,1.0,-99.0,4.0,-99.0,12.9
52,132,-99.0,-99.0,1.0,-99.0,4.0,-99.0,12.9
52,133,-99.0,-99.0,1.0,-99.0,4.0,-99.0,12.9
52,134,-99.0,-99.0,1.0,-99.0,4.0,-99.0,12.7
52,135,-99.0,-99.0,1.0,-99.0,4.0,-99.0,12.7
53,119,-99.0,-99.0,0.0,-99.0,4.0,-99.0,14.9
53,120,-99.0,-99.0,0.0,-99.0,4.0,-99.0,14.6
53,121,-99.0,-99.0,0.0,-99.0,4.0,-99.0,14.5
53,122,-99.0,-99.0,0.0,-99.0,4.0,-99.0,14.4
53,123,-99.0,-99.0,0.0,-99.0,4.0,-99.0,14.4
53,124,-99.0,-99.0,0.0,-99.0,4.0,-99.0,14.1
53,125,-99.0,-99.0,0.0,-99.0,4.0,-99.0,14.1
53,126,-99.0,-99.0,0.0,-99.0,4.0,-99.0,13.9
53,127,-99.0,-99.0,0.0,-99.0,4.0,-99.0,13.9
53,128,-99.0,-99.0,0.0,-99.0,4.0,-99.0,13.8
53,129,-99.0,-99.0,0.0,-99.0,4.0,-99.0,13.7
53,130,-99.0,-99.0,0.0,-99.0,4.0,-99.0,13.7
53,131,-99.0,-99.0,0.0,-99.0,4.0,-99.0,13.6
53,132,-99.0,-99.0,0.0,-99.0,4.0,-99.0,13.7
53,133,-99.0,-99.0,0.0,-99.0,4.0,-99.0,13.6
53,134,-99.0,-99.0,0.0,-99.0,4.0,-99.0,13.6
53,135,-99.0,-99.0,0.0,-99.0,4.0,-99.0,13.8
54,119,13.0,61.0,1.0,95.0,4.0,21.0,2.6
54,120,13.0,60.0,1.0,95.0,4.0,20.0,2.4
54,121,11.0,60.0,1.0,95.0,4.0,17.0,2.2
54,122,7.0,60.0,1.0,95.0,4.0,19.0,1.9
54,123,6.0,60.0,1.0,100.0,4.0,20.0,1.7
54,124,5.0,60.0,1.0,100.0,4.0,22.0,1.3
54,125,5.0,60.0,1.0,100.0,4.0,21.0,1.0
54,126,5.0,60.0,1.0,95.0,4.0,21.0,0.8
54,127,5.0,60.0,1.0,95.0,4.0,21.0,0.6
54,128,5.0,60.0,1.0,95.0,4.0,22.0,0.8
54,129,5.0,60.0,1.0,95.0,4.0,21.0,0.9
54,130,5.0,60.0,1.0,95.0,4.0,21.0,0.9
54,131,4.0,63.0,1.0,100.0,4.0,22.0,1.0
54,132,4.0,65.0,1.0,95.0,4.0,21.0,1.1
54,133,3.0,68.0,1.0,95.0,4.0,21.0,1.3
54,134,3.0,69.0,1.0,95.0,4.0,21.0,1.7
54,135,3.0,65.0,1.0,95.0,4.0,20.0,1.9
