nx,ny,PCP,POP,PTY,REH,SKY,TMP,WSD
50,119,-99.0,-99.0,0.0,-99.0,1.0,-99.0,8.2
50,120,-99.0,-99.0,0.0,-99.0,1.0,-99.0,9.7
50,121,-99.0,-99.0,0.0,-99.0,1.0,-99.0,11.1
50,122,-99.0,-99.0,0.0,-99.0,1.0,-99.0,12.0
50,123,-99.0,-99.0,0.0,-99.0,1.0,-99.0,12.5
50,124,-99.0,-99.0,0.0,-99.0,1.0,-99.0,12.8
50,125,-99.0,-99.0,0.0,-99.0,1.0,-99.0,12.9
50,126,-99.0,-99.0,0.0,-99.0,1.0,-99.0,13.0
50,127,-99.0,-99.0,0.0,-99.0,1.0,-99.0,13.0
50,128,-99.0,-99.0,0.0,-99.0,1.0,-99.0,12.7
50,129,-99.0,-99.0,0.0,-99.0,1.0,-99.0,12.6
50,130,-99.0,-99.0,0.0,-99.0,1.0,-99.0,12.3
50,131,-99.0,-99.0,0.0,-99.0,1.0,-99.0,12.2
50,132,-99.0,-99.0,0.0,-99.0,1.0,-99.0,12.1
50,133,-99.0,-99.0,0.0,-99.0,1.0,-99.0,12.0
50,134,-99.0,-99.0,0.0,-99.0,1.0,-99.0,12.0
50,135,-99.0,-99.0,0.0,-99.0,1.0,-99.0,12.0
51,119,0.0,30.0,0.0,70.0,4.0,31.0,7.8
51,120,0.0,30.0,0.0,70.0,4.0,31.0,7.4
51,121,0.0,30.0,0.0,70.0,4.0,31.0,7.0
51,122,0.0,30.0,0.0,65.0,4.0,31.0,6.6
51,123,0.0,30.0,0.0,65.0,4.0,31.0,6.4
51,124,0.0,30.0,0.0,65.0,4.0,30.0,6.4
51,125,0.0,30.0,0.0,75.0,4.0,28.0,6.4
51,126,0.0,30.0,0.0,75.0,4.0,28.0,6.7
51,127,0.0,30.0,0.0,75.0,4.0,28.0,7.0
51,128,0.0,30.0,0.0,75.0,4.0,29.0,7.1
51,129,0.0,30.0,0.0,70.0,4.0,29.0,7.1
51,130,0.0,30.0,0.0,70.0,4.0,28.0,6.8
51,131,0.0,30.0,0.0,80.0,4.0,27.0,6.4
51,132,0.0,30.0,0.0,80.0,4.0,23.0,6.2
51,133,0.0,30.0,0.0,75.0,4.0,26.0,6.0
51,134,0.0,20.0,0.0,65.0,3.0,29.0,5.7
51,135,0.0,20.0,0.0,65.0,3.0,30.0,5.8
52,119,-99.0,-99.0,0.0,-99.0,4.0,-99.0,11.6
52,120,-99.0,-99.0,0.0,-99.0,4.0,-99.0,11.5
52,121,-99.0,-99.0,0.0,-99.0,4.0,-99.0,11.5
52,122,-99.0,-99.0,0.0,-99.0,4.0,-99.0,11.6
52,123,-99.0,-99.0,0.0,-99.0,4.0,-99.0,11.6
52,124,-99.0,-99.0,0.0,-99.0,4.0,-99.0,11.6
52,125,-99.0,-99.0,0.0,-99.0,4.0,-99.0,11.5
52,126,-99.0,-99.0,0.0,-99.0,4.0,-99.0,11.6
52,127,-99.0,-99.0,0.0,-99.0,4.0,-99.0,11.5
52,128,-99.0,-99.0,0.0,-99.0,4.0,-99.0,11.5
52,129,-99.0,-99.0,0.0,-99.0,4.0,-99.0,11.5
52,130,-99.0,-99.0,0.0,-99.0,4.0,-99.0,11.6
52,131,-99.0,-99.0,0.0,-99.0,4.0,-99.0,11.6
52,132,-99.0,-99.0,0.0,-99.0,4.0,-99.0,11.6
52,133,-99.0,-99.0,0.0,-99.0,4.0,-99.0,11.7
52,134,-99.0,-99.0,0.0,-99.0,4.0,-99.0,11.7
52,135,-99.0,-99.0,0.0,-99.0,4.0,-99.0,11.7
53,119,-99.0,-99.0,0.0,-99.0,1.0,-99.0,12.7
53,120,-99.0,-99.0,0.0,-99.0,1.0,-99.0,12.5
53,121,-99.0,-99.0,0.0,-99.0,1.0,-99.0,12.3
53,122,-99.0,-99.0,0.0,-99.0,1.0,-99.0,12.3
53,123,-99.0,-99.0,0.0,-99.0,1.0,-99.0,12.4
53,124,-99.0,-99.0,0.0,-99.0,1.0,-99.0,12.4
53,125,-99.0,-99.0,0.0,-99.0,1.0,-99.0,12.5
53,126,-99.0,-99.0,0.0,-99.0,1.0,-99.0,12.5
53,127,-99.0,-99.0,0.0,-99.0,1.0,-99.0,12.5
53,128,-99.0,-99.0,0.0,-99.0,1.0,-99.0,12.2
53,129,-99.0,-99.0,0.0,-99.0,3.0,-99.0,12.2
53,130,-99.0,-99.0,0.0,-99.0,3.0,-99.0,12.1
53,131,-99.0,-99.0,0.0,-99.0,3.0,-99.0,12.0
53,132,-99.0,-99.0,0.0,-99.0,3.0,-99.0,12.0
53,133,-99.0,-99.0,0.0,-99.0,3.0,-99.0,12.0
53,134,-99.0,-99.0,0.0,-99.0,3.0,-99.0,11.8
53,135,-99.0,-99.0,0.0,-99.0,4.0,-99.0,11.5
54,119,0.0,30.0,0.0,65.0,4.0,30.0,6.4
54,120,0.0,30.0,0.0,65.0,4.0,29.0,6.2
54,121,0.0,20.0,0.0,65.0,3.0,26.0,5.7
54,122,0.0,20.0,0.0,65.0,3.0,29.0,5.4
54,123,0.0,20.0,0.0,60.0,3.0,30.0,4.9
54,124,0.0,20.0,0.0,60.0,3.0,33.0,4.7
54,125,0.0,20.0,0.0,60.0,3.0,32.0,4.4
54,126,0.0,20.0,0.0,60.0,3.0,32.0,4.2
54,127,0.0,20.0,0.0,60.0,3.0,31.0,4.0
54,128,0.0,20.0,0.0,55.0,3.0,32.0,4.0
54,129,0.0,20.0,0.0,60.0,3.0,32.0,4.3
54,130,0.0,20.0,0.0,65.0,3.0,31.0,4.7
54,131,0.0,20.0,0.0,65.0,3.0,32.0,5.0
54,132,0.0,20.0,0.0,65.0,3.0,30.0,5.3
54,133,0.0,20.0,0.0,70.0,3.0,29.0,5.4
54,134,0.0,30.0,0.0,70.0,4.0,29.0,5.3
54,135,0.0,30.0,0.0,65.0,4.0,28.0,5.2
55,119,-99.0,-99.0,0.0,-99.0,4.0,-99.0,11.7
55,120,-99.0,-99.0,0.0,-99.0,4.0,-99.0,11.7
55,121,-99.0,-99.0,0.0,-99.0,4.0,-99.0,11.8
55,122,-99.0,-99.0,0.0,-99.0,4.0,-99.0,11.8
55,123,-99.0,-99.0,0.0,-99.0,4.0,-99.0,11.8
55,124,-99.0,-99.0,0.0,-99.0,4.0,-99.0,11.7
55,125,-99.0,-99.0,0.0,-99.0,4.0,-99.0,11.7
55,126,-99.0,-99.0,0.0,-99.0,4.0,-99.0,11.7
55,127,-99.0,-99.0,0.0,-99.0,4.0,-99.0,11.8
55,128,-99.0,-99.0,0.0,-99.0,4.0,-99.0,11.8
55,129,-99.0,-99.0,0.0,-99.0,4.0,-99.0,11.8
55,130,-99.0,-99.0,0.0,-99.0,4.0,-99.0,11.8
55,131,-99.0,-99.0,0.0,-99.0,4.0,-99.0,11.8
55,132,-99.0,-99.0,0.0,-99.0,4.0,-99.0,11.8
55,133,0.0,30.0,0.0,85.0,4.0,28.0,11.8
55,134,-99.0,-99.0,0.0,-99.0,4.0,-99.0,11.8
55,135,-99.0,-99.0,0.0,-99.0,4.0,-99.0,11.8
56,119,-99.0,-99.0,0.0,-99.0,3.0,-99.0,12.3
56,120,-99.0,-99.0,0.0,-99.0,3.0,-99.0,12.2
56,121,-99.0,-99.0,0.0,-99.0,3.0,-99.0,12.3
56,122,-99.0,-99.0,0.0,-99.0,3.0,-99.0,12.3
56,123,-99.0,-99.0,0.0,-99.0,4.0,-99.0,12.2
56,124,-99.0,-99.0,0.0,-99.0,4.0,-99.0,12.2
56,125,-99.0,-99.0,0.0,-99.0,4.0,-99.0,12.1
56,126,-99.0,-99.0,0.0,-99.0,4.0,-99.0,12.1
56,127,-99.0,-99.0,0.0,-99.0,4.0,-99.0,12.2
56,128,-99.0,-99.0,0.0,-99.0,4.0,-99.0,12.3
56,129,-99.0,-99.0,0.0,-99.0,4.0,-99.0,12.3
56,130,-99.0,-99.0,0.0,-99.0,4.0,-99.0,12.4
56,131,-99.0,-99.0,0.0,-99.0,4.0,-99.0,12.3
56,132,-99.0,-99.0,0.0,-99.0,4.0,-99.0,12.2
56,133,-99.0,-99.0,0.0,-99.0,4.0,-99.0,12.2
56,134,-99.0,-99.0,0.0,-99.0,4.0,-99.0,12.2
56,135,-99.0,-99.0,0.0,-99.0,4.0,-99.0,12.3
57,119,0.0,20.0,0.0,65.0,3.0,32.0,5.0
57,120,0.0,20.0,0.0,65.0,3.0,31.0,5.2
57,121,0.0,20.0,0.0,60.0,3.0,31.0,5.4
57,122,0.0,20.0,0.0,65.0,3.0,32.0,5.4
57,123,0.0,20.0,0.0,60.0,3.0,31.0,5.2
57,124,0.0,20.0,0.0,65.0,3.0,30.0,5.2
57,125,0.0,20.0,0.0,65.0,3.0,30.0,5.3
57,126,0.0,20.0,0.0,70.0,3.0,30.0,5.6
57,127,0.0,20.0,0.0,65.0,3.0,30.0,5.9
57,128,0.0,20.0,0.0,65.0,3.0,31.0,6.2
57,129,0.0,20.0,0.0,65.0,3.0,31.0,6.4
57,130,0.0,20.0,0.0,65.0,3.0,30.0,6.4
57,131,0.0,20.0,0.0,60.0,3.0,30.0,6.4
57,132,0.0,20.0,0.0,55.0,3.0,32.0,6.5
57,133,0.0,20.0,0.0,60.0,3.0,32.0,6.9
57,134,0.0,20.0,0.0,60.0,3.0,33.0,7.4
57,135,-99.0,-99.0,0.0,-99.0,3.0,-99.0,7.7
58,119,-99.0,-99.0,0.0,-99.0,4.0,-99.0,12.0
58,120,-99.0,-99.0,0.0,-99.0,4.0,-99.0,11.9
58,121,-99.0,-99.0,0.0,-99.0,4.0,-99.0,11.9
58,122,-99.0,-99.0,0.0,-99.0,4.0,-99.0,12.0
58,123,-99.0,-99.0,0.0,-99.0,4.0,-99.0,12.3
58,124,-99.0,-99.0,0.0,-99.0,4.0,-99.0,12.8
58,125,0.0,30.0,0.0,90.0,4.0,29.0,13.1
58,126,0.0,30.0,0.0,90.0,4.0,29.0,13.0
58,127,0.0,30.0,0.0,85.0,4.0,29.0,12.6
58,128,0.0,30.0,0.0,85.0,4.0,29.0,11.9
58,129,0.0,30.0,0.0,80.0,4.0,29.0,11.0
58,130,0.0,30.0,0.0,80.0,4.0,29.0,10.4
58,131,0.0,30.0,0.0,80.0,4.0,28.0,9.9
58,132,0.0,30.0,0.0,80.0,4.0,29.0,9.4
58,133,0.0,30.0,0.0,80.0,4.0,29.0,9.1
