nx,ny,PCP,POP,PTY,REH,SKY,TMP,WSD
50,119,-99.0,-99.0,0.0,-99.0,4.0,-99.0,2.2
50,120,-99.0,-99.0,0.0,-99.0,4.0,-99.0,2.0
50,121,-99.0,-99.0,0.0,-99.0,4.0,-99.0,2.1
50,122,-99.0,-99.0,0.0,-99.0,4.0,-99.0,2.1
50,123,-99.0,-99.0,0.0,-99.0,4.0,-99.0,2.3
50,124,-99.0,-99.0,0.0,-99.0,4.0,-99.0,2.6
50,125,-99.0,-99.0,0.0,-99.0,4.0,-99.0,2.8
50,126,-99.0,-99.0,0.0,-99.0,4.0,-99.0,2.9
50,127,-99.0,-99.0,0.0,-99.0,4.0,-99.0,2.7
50,128,-99.0,-99.0,0.0,-99.0,4.0,-99.0,2.6
50,129,-99.0,-99.0,0.0,-99.0,4.0,-99.0,2.5
50,130,-99.0,-99.0,0.0,-99.0,4.0,-99.0,2.4
50,131,-99.0,-99.0,0.0,-99.0,4.0,-99.0,2.4
50,132,-99.0,-99.0,0.0,-99.0,4.0,-99.0,2.4
50,133,-99.0,-99.0,0.0,-99.0,4.0,-99.0,2.3
50,134,-99.0,-99.0,0.0,-99.0,4.0,-99.0,2.2
50,135,-99.0,-99.0,0.0,-99.0,4.0,-99.0,2.0
51,119,2.0,60.0,1.0,80.0,4.0,26.0,4.0
51,120,2.0,60.0,1.0,80.0,4.0,27.0,3.9
51,121,2.0,61.0,1.0,80.0,4.0,27.0,4.2
51,122,2.0,60.0,1.0,80.0,4.0,27.0,4.4
51,123,2.0,60.0,1.0,80.0,4.0,27.0,4.7
51,124,2.0,60.0,1.0,80.0,4.0,26.0,4.7
51,125,2.0,60.0,1.0,80.0,4.0,24.0,4.6
51,126,2.0,60.0,1.0,80.0,4.0,25.0,4.4
51,127,2.0,60.0,1.0,80.0,4.0,25.0,4.0
51,128,2.0,60.0,1.0,80.0,4.0,26.0,3.7
51,129,2.0,60.0,1.0,75.0,4.0,26.0,3.5
51,130,2.0,60.0,1.0,75.0,4.0,25.0,3.3
51,131,2.0,60.0,1.0,80.0,4.0,24.0,3.0
51,132,3.0,60.0,1.0,85.0,4.0,20.0,2.8
51,133,2.0,60.0,1.0,80.0,4.0,22.0,2.7
51,134,2.0,60.0,1.0,75.0,4.0,25.0,2.5
51,135,2.0,60.0,1.0,75.0,4.0,24.0,2.7
52,119,-99.0,-99.0,0.0,-99.0,4.0,-99.0,9.0
52,120,-99.0,-99.0,0.0,-99.0,4.0,-99.0,9.5
52,121,-99.0,-99.0,0.0,-99.0,4.0,-99.0,9.9
52,122,-99.0,-99.0,0.0,-99.0,4.0,-99.0,10.5
52,123,-99.0,-99.0,0.0,-99.0,4.0,-99.0,10.8
52,124,-99.0,-99.0,1.0,-99.0,4.0,-99.0,11.2
52,125,-99.0,-99.0,1.0,-99.0,4.0,-99.0,11.3
52,126,-99.0,-99.0,1.0,-99.0,4.0,-99.0,11.4
52,127,-99.0,-99.0,1.0,-99.0,4.0,-99.0,11.6
52,128,-99.0,-99.0,1.0,-99.0,4.0,-99.0,11.7
52,129,-99.0,-99.0,1.0,-99.0,4.0,-99.0,11.9
52,130,-99.0,-99.0,1.0,-99.0,4.0,-99.0,11.9
52,131,-99.0,-99.0,1.0,-99.0,4.0,-99.0,11.9
52,132,-99.0,-99.0,1.0,-99.0,4.0,-99.0,11.8
52,133,-99.0,-99.0,1.0,-99.0,4.0,-99.0,11.7
52,134,-99.0,-99.0,1.0,-99.0,4.0,-99.0,11.7
52,135,-99.0,-99.0,1.0,-99.0,4.0,-99.0,11.8
53,119,-99.0,-99.0,0.0,-99.0,4.0,-99.0,2.3
53,120,-99.0,-99.0,0.0,-99.0,4.0,-99.0,2.1
53,121,-99.0,-99.0,0.0,-99.0,4.0,-99.0,1.9
53,122,-99.0,-99.0,0.0,-99.0,4.0,-99.0,1.8
53,123,-99.0,-99.0,0.0,-99.0,4.0,-99.0,1.8
53,124,-99.0,-99.0,0.0,-99.0,4.0,-99.0,1.8
53,125,-99.0,-99.0,0.0,-99.0,4.0,-99.0,1.8
53,126,-99.0,-99.0,0.0,-99.0,4.0,-99.0,1.9
53,127,-99.0,-99.0,0.0,-99.0,4.0,-99.0,1.9
53,128,-99.0,-99.0,0.0,-99.0,4.0,-99.0,2.0
53,129,-99.0,-99.0,0.0,-99.0,4.0,-99.0,2.1
53,130,-99.0,-99.0,0.0,-99.0,4.0,-99.0,2.2
53,131,-99.0,-99.0,0.0,-99.0,4.0,-99.0,2.2
53,132,-99.0,-99.0,0.0,-99.0,4.0,-99.0,2.2
53,133,-99.0,-99.0,0.0,-99.0,4.0,-99.0,2.1
53,134,-99.0,-99.0,0.0,-99.0,4.0,-99.0,2.1
53,135,-99.0,-99.0,0.0,-99.0,4.0,-99.0,2.1
54,119,0.0,60.0,1.0,80.0,4.0,25.0,2.6
54,120,0.0,60.0,1.0,80.0,4.0,25.0,2.6
54,121,0.0,60.0,1.0,80.0,4.0,22.0,2.6
54,122,1.0,60.0,1.0,80.0,4.0,24.0,2.7
54,123,1.0,60.0,1.0,80.0,4.0,25.0,2.8
54,124,1.0,60.0,1.0,75.0,4.0,27.0,3.1
54,125,1.0,60.0,1.0,75.0,4.0,27.0,3.3
54,126,1.0,60.0,1.0,75.0,4.0,26.0,3.7
54,127,1.0,60.0,1.0,75.0,4.0,25.0,4.0
54,128,0.0,30.0,0.0,70.0,4.0,26.0,4.5
54,129,0.0,30.0,0.0,75.0,4.0,25.0,4.6
54,130,0.0,30.0,0.0,75.0,4.0,25.0,4.5
54,131,0.0,30.0,0.0,75.0,4.0,26.0,4.3
54,132,0.0,30.0,0.0,75.0,4.0,25.0,3.9
54,133,0.0,30.0,0.0,80.0,4.0,24.0,3.5
