   149,   253,=
123.761261,123.814537,123.867821,123.921097,123.974380,124.027664,124.080948,124.134239,124.187531,124.240814,
124.294113,124.347404,124.400696,124.453995,124.507294,124.560593,124.613892,124.667198,124.720497,124.773804,
124.827110,124.880417,124.933723,124.987030,125.040337,125.093651,125.146957,125.200272,125.253578,125.306892,
125.360207,125.413521,125.466835,125.520149,125.573463,125.626785,125.680099,125.733414,125.786736,125.840050,
125.893364,125.946686,126.000000,126.053314,126.106636,126.159950,126.213264,126.266586,126.319901,126.373215,
126.426537,126.479851,126.533165,126.586479,126.639793,126.693108,126.746422,126.799728,126.853043,126.906349,
126.959663,127.012970,127.066277,127.119583,127.172890,127.226196,127.279503,127.332802,127.386108,127.439407,
127.492706,127.546005,127.599304,127.652596,127.705887,127.759186,127.812469,127.865761,127.919052,127.972336,
128.025620,128.078903,128.132187,128.185455,128.238739,128.292007,128.345276,128.398560,128.451828,128.505081,
128.558350,128.611618,128.664871,128.718124,128.771378,128.824631,128.877884,128.931137,128.984375,129.037613,
129.090851,129.144089,129.197327,129.250565,129.303787,129.357010,129.410233,129.463455,129.516663,129.569885,
129.623093,129.676300,129.729492,129.782700,129.835892,129.889084,129.942276,129.995468,130.048645,130.101822,
130.154999,130.208176,130.261337,130.314514,130.367661,130.420822,130.473984,130.527130,130.580276,130.633408,
130.686554,130.739685,130.792816,130.845932,130.899048,130.952164,131.005280,131.058380,131.111496,131.164581,
131.217682,131.270767,131.323853,131.376938,131.430008,131.483078,131.536148,131.589203,131.642258,
123.759773,123.813087,123.866402,123.919716,123.973030,124.026352,124.079674,124.132996,124.186317,124.239647,
124.292976,124.346306,124.399635,124.452965,124.506302,124.559631,124.612968,124.666306,124.719643,124.772987,
124.826324,124.879669,124.933006,124.986351,125.039696,125.093040,125.146393,125.199738,125.253082,125.306435,
125.359779,125.413132,125.466484,125.519829,125.573181,125.626534,125.679886,125.733238,125.786591,125.839943,
125.893295,125.946648,126.000000,126.053352,126.106705,126.160057,126.213409,126.266762,126.320114,126.373466,
126.426819,126.480171,126.533516,126.586868,126.640221,126.693565,126.746918,126.800262,126.853607,126.906960,
126.960304,127.013649,127.066994,127.120331,127.173676,127.227013,127.280357,127.333694,127.387032,127.440369,
127.493698,127.547035,127.600365,127.653694,127.707024,127.760353,127.813683,127.867004,127.920326,127.973648,
128.026962,128.080292,128.133606,128.186920,128.240219,128.293533,128.346848,128.400146,128.453461,128.506760,
128.560059,128.613358,128.666641,128.719940,128.773224,128.826523,128.879807,128.933090,128.986359,129.039642,
129.092911,129.146179,129.199463,129.252716,129.305984,129.359238,129.412506,129.465759,129.519012,129.572250,
129.625504,129.678741,129.731979,129.785217,129.838455,129.891678,129.944901,129.998123,130.051346,130.104553,
130.157761,130.210968,130.264175,130.317383,130.370575,130.423767,130.476959,130.530136,130.583313,130.636490,
130.689667,130.742828,130.795990,130.849152,130.902313,130.955460,131.008606,131.061752,131.114883,131.168015,
131.221146,131.274277,131.327393,131.380508,131.433609,131.486725,131.539825,131.592911,131.646011,
123.758278,123.811630,123.864975,123.918327,123.971680,124.025040,124.078392,124.131752,124.185112,124.238472,
124.291840,124.345200,124.398567,124.451935,124.505302,124.558670,124.612045,124.665421,124.718788,124.772163,
124.825546,124.878922,124.932297,124.985680,125.039055,125.092438,125.145821,125.199203,125.252586,125.305969,
125.359352,125.412743,125.466125,125.519508,125.572899,125.626282,125.679672,125.733063,125.786446,125.839836,
125.893227,125.946609,126.000000,126.053391,126.106773,126.160164,126.213554,126.266937,126.320328,126.373718,
126.427101,126.480492,126.533875,126.587257,126.640648,126.694031,126.747414,126.800797,126.854179,126.907562,
126.960945,127.014320,127.067703,127.121078,127.174454,127.227837,127.281212,127.334579,127.387955,127.441330,
127.494698,127.548065,127.601433,127.654800,127.708160,127.761528,127.814888,127.868248,127.921608,127.974960,
128.028320,128.081665,128.135025,128.188370,128.241714,128.295059,128.348404,128.401749,128.455093,128.508423,
128.561768,128.615097,128.668427,128.721756,128.775070,128.828400,128.881714,128.935043,128.988358,129.041672,
129.094971,129.148285,129.201584,129.254883,129.308182,129.361481,129.414780,129.468063,129.521347,129.574631,
129.627914,129.681198,129.734467,129.787735,129.841003,129.894272,129.947525,130.000778,130.054031,130.107285,
130.160538,130.213776,130.267014,130.320251,130.373474,130.426712,130.479935,130.533157,130.586365,130.639572,
130.692780,130.745987,130.799179,130.852386,130.905563,130.958755,131.011932,131.065109,131.118286,131.171448,
131.224625,131.277771,131.330933,131.384079,131.437225,131.490372,131.543503,131.596634,131.649750,
123.756783,123.810165,123.863556,123.916939,123.970329,124.023720,124.077110,124.130508,124.183899,124.237297,
124.290695,124.344093,124.397499,124.450905,124.504303,124.557709,124.611122,124.664528,124.717934,124.771347,
124.824760,124.878174,124.931587,124.985001,125.038414,125.091835,125.145248,125.198669,125.252090,125.305504,
125.358925,125.412346,125.465767,125.519188,125.572617,125.626038,125.679459,125.732880,125.786308,125.839729,
125.893150,125.946579,126.000000,126.053421,126.106850,126.160271,126.213692,126.267120,126.320541,126.373962,
126.427383,126.480812,126.534233,126.587654,126.641075,126.694496,126.747910,126.801331,126.854752,126.908165,
126.961586,127.014999,127.068413,127.121826,127.175240,127.228653,127.282066,127.335472,127.388878,127.442291,
127.495697,127.549095,127.602501,127.655907,127.709305,127.762703,127.816101,127.869492,127.922890,127.976280,
128.029678,128.083054,128.136444,128.189835,128.243210,128.296600,128.349976,128.403351,128.456726,128.510101,
128.563461,128.616837,128.670197,128.723572,128.776932,128.830292,128.883636,128.936996,128.990341,129.043686,
